




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	H2AFZ_H1.intersect_with_DeepZ.genes.unique.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H2AFZ_H1.intersect_with_DeepZ.genes.unique.txt (1866)	H2AFZ_H1.intersect_with_DeepZ.genes.unique.txt (expected)	H2AFZ_H1.intersect_with_DeepZ.genes.unique.txt (over/under)	H2AFZ_H1.intersect_with_DeepZ.genes.unique.txt (fold Enrichment)	H2AFZ_H1.intersect_with_DeepZ.genes.unique.txt (raw P-value)	H2AFZ_H1.intersect_with_DeepZ.genes.unique.txt (FDR)
ncRNA 5'-end processing (GO:0034471)	21	11	1.90	+	5.78	3.16E-05	5.28E-03
RNA 5'-end processing (GO:0000966)	23	12	2.08	+	5.76	1.42E-05	2.57E-03
tRNA 5'-end processing (GO:0099116)	16	8	1.45	+	5.52	4.89E-04	4.84E-02
maturation of 5.8S rRNA (GO:0000460)	35	17	3.17	+	5.36	5.22E-07	1.30E-04
mitochondrial RNA processing (GO:0000963)	20	9	1.81	+	4.97	4.00E-04	4.13E-02
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	24	10	2.17	+	4.60	3.13E-04	3.46E-02
mitochondrial translation (GO:0032543)	54	22	4.89	+	4.50	1.34E-07	3.52E-05
cleavage involved in rRNA processing (GO:0000469)	27	11	2.45	+	4.50	1.85E-04	2.25E-02
mitochondrial gene expression (GO:0140053)	86	35	7.79	+	4.49	3.01E-11	1.05E-08
mitochondrial RNA metabolic process (GO:0000959)	42	16	3.81	+	4.20	1.33E-05	2.47E-03
regulation of mitochondrial gene expression (GO:0062125)	29	11	2.63	+	4.19	3.04E-04	3.41E-02
ribosomal small subunit biogenesis (GO:0042274)	73	27	6.61	+	4.08	2.70E-08	7.85E-06
maturation of SSU-rRNA (GO:0030490)	50	18	4.53	+	3.97	7.40E-06	1.53E-03
ncRNA 3'-end processing (GO:0043628)	50	17	4.53	+	3.75	2.41E-05	4.17E-03
cytochrome complex assembly (GO:0017004)	36	12	3.26	+	3.68	4.31E-04	4.43E-02
ribosomal large subunit biogenesis (GO:0042273)	72	24	6.52	+	3.68	7.40E-07	1.76E-04
rRNA processing (GO:0006364)	219	69	19.84	+	3.48	4.86E-16	2.46E-13
rRNA metabolic process (GO:0016072)	230	72	20.84	+	3.46	1.48E-16	8.30E-14
tRNA aminoacylation (GO:0043039)	45	14	4.08	+	3.43	2.66E-04	3.07E-02
tRNA aminoacylation for protein translation (GO:0006418)	42	13	3.81	+	3.42	4.55E-04	4.61E-02
amino acid activation (GO:0043038)	46	14	4.17	+	3.36	3.21E-04	3.53E-02
ribosome biogenesis (GO:0042254)	293	87	26.55	+	3.28	1.55E-18	1.11E-15
cytoplasmic translation (GO:0002181)	122	35	11.05	+	3.17	5.53E-08	1.55E-05
RNA 3'-end processing (GO:0031123)	106	30	9.60	+	3.12	6.11E-07	1.48E-04
ribosome assembly (GO:0042255)	61	17	5.53	+	3.08	1.87E-04	2.26E-02
translation (GO:0006412)	366	102	33.16	+	3.08	7.31E-20	6.76E-17
